sequence	16S_rRNA_Count	metadata_NSTI
SV_1368_Pseudomonadales	3	0.305767
SV_1369_Enterobacterales	7	0.522785
SV_136_Rhodobacterales	4	0.05204
SV_1370_NA	3	0.403464
SV_1371_Sphingomonadales	1	0.021891
SV_1372_Flavobacteriales	3	0.046732
SV_1373_Sphingomonadales	2	0.211793
SV_1374_Sphingomonadales	3	0.276685
SV_1375_Rhodobacterales	2	0.249982
SV_1376_Sphingomonadales	1	0.023866
SV_1377_Rhodobacterales	2	0.154341
SV_1378_Caulobacterales	2	0.748017
SV_1379_Rhodospirillales	4	0.059096
SV_137_Flavobacteriales	2	0.168789
SV_1380_Enterobacterales	5	0.176475
SV_1381_Rhodospirillales	4	0.07622
SV_1382_Sphingomonadales	1	0.031226
SV_1383_Cytophagales	3	0.409903
SV_1384_Rhizobiales	3	0.485463
SV_1385_NA	1	0.370816
SV_1386_Caulobacterales	2	0.347335
SV_1387_Rhodobacterales	2	0.064319
SV_1388_NA	1	0.042642
SV_1389_Caulobacterales	2	0.411199
SV_138_Enterobacterales	5	0.115609
SV_1390_Pseudomonadales	3	0.431254
SV_1391_Rhodobacterales	2	0.245436
SV_1392_Pseudomonadales	3	0.385377
SV_1393_Enterobacterales	8	0.567197
SV_1394_Rhodobacterales	2	0.1137
SV_1395_Sphingomonadales	4	0.042099
SV_1396_Rhizobiales	3	0.041454
SV_1397_Caulobacterales	2	0.349864
SV_1398_Rhodobacterales	2	0.276395
SV_1399_Enterobacterales	3	0.628891
SV_139_Flavobacteriales	2	0.200162
SV_13_Caulobacterales	2	0.516412
SV_1400_Rhizobiales	3	0.064181
SV_1401_Rhodospirillales	3	0.901265
SV_1402_Flavobacteriales	3	0.066882
SV_1403_Nitrosococcales	3	0.723855
SV_1404_Rhizobiales	2	0.063094
SV_1405_Rhodobacterales	2	0.111338
SV_1406_Rhodobacterales	1	0.030011
SV_1407_Rhodobacterales	2	0.175882
SV_1408_Rhodobacterales	2	0.165504
SV_1409_Cytophagales	3	0.876361
SV_140_Cytophagales	3	0.58464
SV_1410_Flavobacteriales	3	0.263327
SV_1411_Rhodobacterales	3	0.614187
SV_1412_Caulobacterales	2	0.136091
SV_1413_NA	2	0.434169
SV_1414_Enterobacterales	4	0.962782
SV_1415_Rhodobacterales	2	0.14804
SV_1416_Pseudomonadales	3	0.200573
SV_1417_Sphingomonadales	2	0.009032
SV_1418_Enterobacterales	5	0.740935
SV_1419_Enterobacterales	5	0.152775
SV_141_Flavobacteriales	3	0.01969
SV_1420_Enterobacterales	5	0.034076
SV_1421_Enterobacterales	5	0.073177
SV_1422_Caulobacterales	2	0.617062
SV_1423_Rhodobacterales	2	0.059331
SV_1424_Rhizobiales	2	0.379148
SV_1425_Rhizobiales	3	0.248687
SV_1426_Rhodobacterales	2	0.129828
SV_1427_Caulobacterales	2	0.226483
SV_1428_Sphingomonadales	2	0.124518
SV_1429_Enterobacterales	5	0.170042
SV_142_Rhodospirillales	4	0.038217
SV_1430_Rhodobacterales	2	0.13802
SV_1431_Sphingomonadales	1	0.022072
SV_1432_Caulobacterales	1	0.296103
SV_1433_Sphingomonadales	2	0.227164
SV_1434_NA	3	1.123
SV_1435_Rhodobacterales	2	0.028308
SV_1436_Rhizobiales	2	0.045279
SV_1437_Caulobacterales	2	0.77461
SV_1438_Caulobacterales	2	0.448264
SV_1439_Sphingomonadales	1	0.031406
SV_143_Actinomycetales	1	0.196084
SV_1440_Enterobacterales	5	0.121886
SV_1441_Rhodobacterales	2	0.053586
SV_1442_Rhodospirillales	4	0.042225
SV_1443_Caulobacterales	2	0.646823
SV_1444_Enterobacterales	5	0.1214
SV_1445_Rhodobacterales	2	0.137397
SV_1446_NA	1	0.049512
SV_1447_Rhizobiales	3	0.45592
SV_144_Rhodobacterales	2	0.109502
SV_145_Actinomycetales	1	0.124771
SV_146_Rhodobacterales	2	0.109502
SV_147_Nitrosococcales	2	0.758569
SV_148_Cytophagales	3	0.373834
SV_149_Rhodobacterales	2	0.1095
SV_14_Enterobacterales	5	0.107521
SV_150_Sphingomonadales	2	0.01092
SV_151_Flavobacteriales	3	0.019635
SV_152_Enterobacterales	12	0.192316
SV_153_NA	1	0.434
SV_154_Cytophagales	3	0.56456
SV_155_Actinomycetales	1	0.196084
SV_156_Flavobacteriales	3	0.253313
SV_157_Enterobacterales	12	0.195989
SV_158_Enterobacterales	5	0.30333
SV_159_Caulobacterales	2	0.052721
SV_15_Flavobacteriales	3	0.263327
SV_160_Enterobacterales	14	0.211416
SV_161_Flavobacteriales	3	0.056195
SV_162_Caulobacterales	2	0.684387
SV_163_Pseudomonadales	3	0.020586
SV_164_Flavobacteriales	3	0.253313
SV_165_Izimaplasmatales	4	1.193676
SV_166_Enterobacterales	5	0.1214
SV_167_Sphingomonadales	1	0.012651
SV_168_Caulobacterales	2	0.393387
SV_169_Caulobacterales	2	0.356394
SV_16_Sphingomonadales	1	0.018224
SV_170_Caulobacterales	2	0.105852
SV_171_Rhodobacterales	2	0.021863
SV_172_Pseudomonadales	3	0.042134
SV_173_Sphingomonadales	2	0.423328
SV_174_Rhodobacterales	2	0.104926
SV_175_Rhodospirillales	4	0.032662
SV_176_Flavobacteriales	3	0.253313
SV_177_Caulobacterales	2	0.348702
SV_178_Enterobacterales	5	0.114392
SV_179_NA	3	1.030049
SV_17_Enterobacterales	5	0.086596
SV_180_Flavobacteriales	3	0.244252
SV_181_Enterobacterales	5	0.072434
SV_182_Flavobacteriales	3	0.036583
SV_183_Rhodobacterales	2	0.014367
SV_184_Pseudomonadales	3	0.43178
SV_185_NA	3	1.071697
SV_186_Caulobacterales	2	0.719726
SV_187_Enterobacterales	5	0.084519
SV_188_Acholeplasmatales	4	1.369485
SV_189_Flavobacteriales	6	0.025004
SV_18_Enterobacterales	5	0.117736
SV_190_Rhodobacterales	2	0.117354
SV_191_Rhodobacterales	4	0.052105
SV_192_Flavobacteriales	3	0.064561
SV_193_Rhizobiales	2	0.067732
SV_194_Rhodobacterales	4	0.020164
SV_195_Flavobacteriales	3	0.276771
SV_196_Enterobacterales	8	0.194568
SV_197_Rhodobacterales	4	0.052061
SV_198_Enterobacterales	5	0.117765
SV_199_Flavobacteriales	3	0.263327
SV_19_Rhodobacterales	2	0.014496
SV_1_Flavobacteriales	3	0.017761
SV_200_Rhodospirillales	4	0.035873
SV_201_Rhodobacterales	2	0.106645
SV_202_Flavobacteriales	3	0.05818
SV_203_Rhodobacterales	2	0.016349
SV_204_Pseudomonadales	6	0.073959
SV_205_Rhizobiales	2	0.277816
SV_206_Enterobacterales	12	0.180194
SV_207_Pseudomonadales	2	0.211921
SV_208_NA	1	0.012587
SV_209_Caulobacterales	2	0.326626
SV_20_Rhodobacterales	2	0.022473
SV_210_Flavobacteriales	3	1.105013
SV_211_Rhodobacterales	2	0.114277
SV_212_Pseudomonadales	2	0.225291
SV_213_Enterobacterales	8	0.125393
SV_214_Rhodobacterales	2	0.030804
SV_215_Nevskiales	2	0.28231
SV_216_Enterobacterales	5	0.285192
SV_217_Flavobacteriales	3	0.357378
SV_218_Flavobacteriales	3	0.253313
SV_219_Rhodobacterales	2	0.020014
SV_21_Flavobacteriales	3	0.092358
SV_220_Flavobacteriales	3	0.017782
SV_221_Rhodobacterales	2	0.141571
SV_222_Caulobacterales	2	0.056129
SV_223_Flavobacteriales	2	0.512927
SV_224_Enterobacterales	8	0.125788
SV_225_Flavobacteriales	3	0.075224
SV_226_Pseudomonadales	4	0.156552
SV_227_Caulobacterales	2	0.328058
SV_228_Sphingomonadales	2	0.007255
SV_229_Rhodobacterales	2	0.009984
SV_22_Flavobacteriales	2	0.168806
SV_230_Enterobacterales	14	0.163998
SV_231_Rhodobacterales	2	0.01981
SV_232_Flavobacteriales	3	0.32644
SV_233_Pelagibacterales	1	0.012089
SV_234_Rhizobiales	2	0.053996
SV_235_Rhodobacterales	2	0.152356
SV_236_Rhizobiales	2	0.278104
SV_237_Pelagibacterales	1	0.049927
SV_238_NA	1	0.527522
SV_239_Enterobacterales	8	0.331581
SV_23_Caulobacterales	2	0.0403
SV_240_Rhizobiales	3	0.177481
SV_241_Enterobacterales	5	0.272583
SV_242_Flavobacteriales	3	0.253313
SV_243_Enterobacterales	12	0.196626
SV_244_Nevskiales	2	0.071698
SV_245_Pelagibacterales	1	0.051845
SV_246_Pseudomonadales	6	0.049608
SV_247_Flavobacteriales	3	0.883539
SV_248_Sphingomonadales	1	0.012599
SV_249_Flavobacteriales	3	0.235166
SV_24_Rhodobacterales	4	0.012812
SV_250_Enterobacterales	8	0.280981
SV_251_Flavobacteriales	3	0.061176
SV_252_Sphingomonadales	2	0.018228
SV_253_Enterobacterales	5	0.200284
SV_254_Flavobacteriales	3	0.289806
SV_255_Flavobacteriales	3	0.253927
SV_256_Pseudomonadales	2	0.146299
SV_257_Rhodobacterales	2	0.031744
SV_258_Sphingomonadales	2	0.00903
SV_259_Pelagibacterales	1	0.010411
SV_25_Pseudomonadales	2	0.239434
SV_260_Flavobacteriales	2	0.042711
SV_261_Rhodospirillales	4	0.01667
SV_262_Rhodospirillales	4	0.036481
SV_263_Caulobacterales	2	0.369656
SV_264_Pseudomonadales	3	0.155052
SV_265_Rhodospirillales	4	0.041826
SV_266_Sphingomonadales	1	0.014611
SV_267_NA	3	0.253313
SV_268_Chitinophagales	3	1.227806
SV_269_Sneathiellales	2	0.537289
SV_26_Pseudomonadales	3	0.154226
SV_270_Rhodospirillales	1	0.035537
SV_271_Rhodobacterales	2	0.044755
SV_272_Rhizobiales	2	0.024048
SV_273_Rhizobiales	2	0.020382
SV_274_Rhizobiales	2	0.526636
SV_275_Rhizobiales	2	0.617262
SV_276_Caulobacterales	2	0.721077
SV_277_Pseudomonadales	3	0.020556
SV_278_Rhodobacterales	2	0.050534
SV_279_Rhodobacterales	2	0.010901
SV_27_Betaproteobacteriales	3	0.210252
SV_280_Enterobacterales	5	0.1214
SV_281_Flavobacteriales	3	0.057693
SV_282_Sphingomonadales	1	0.008976
SV_283_Flavobacteriales	3	0.038658
SV_284_Flavobacteriales	2	0.055771
SV_285_Pseudomonadales	4	0.148767
SV_286_Sphingomonadales	1	0.007248
SV_287_Rhodobacterales	2	0.359711
SV_288_Rhodospirillales	4	0.032669
SV_289_Pseudomonadales	3	0.377935
SV_28_Rhizobiales	3	0.065756
SV_290_Actinomycetales	1	0.27819
SV_291_Flavobacteriales	3	0.071959
SV_292_Rhizobiales	2	0.105343
